program_id,program_name,program_name_ur,category,scope,province,implementing_agency,target_beneficiary,min_age,max_age,education_level,student_status_required,max_monthly_income_pkr,special_criteria,benefits_coverage,required_documents,application_steps,official_url,helpline
NAT-SCH-01,HEC Need Based Scholarships Program,ایچ ای سی ضرورت مند اسکالرشپ پروگرام,Scholarship,Pakistan-Wide,All Pakistan,Higher Education Commission (HEC) Pakistan,Economically disadvantaged undergraduate students admitted on merit in public sector universities,17,30,Undergraduate (Bachelor / BS),Yes,45000,Regular morning admission in participating public university; merit standing; verified financial hardship,"100% Tuition fee coverage + PKR 6,000/month living stipend for standard degree duration",Applicant CNIC/B-Form; Guardian CNIC; Salary slip/income affidavit; 6-month utility bills; Semester fee challan; Academic transcripts; Rent agreement (if rented),Apply online via HEC Scholarship Portal (eportal.hec.gov.pk) or through University Financial Aid Office (FAO). Shortlisted applicants are interviewed by ISAC committee.,https://www.hec.gov.pk/english/scholarshipsgrants/NBS/Pages/default.aspx,051-111-119-432
NAT-SCH-02,Prime Minister's Youth Laptop Scheme (PMYLS),وزیراعظم یوتھ لیپ ٹاپ اسکیم,Scholarship / Educational Support,Pakistan-Wide,All Pakistan,Prime Minister's Youth Programme (PMYP) & HEC,Regular students enrolled in HEC-recognized public higher education institutions,17,35,Undergraduate / Master / PhD,Yes,Not income-tested,Active student in approved degree; allocation based strictly on CGPA/percentage merit quota; private/distance excluded,Free brand new high-end core-spec laptop equipped with licensed OS and academic software,Valid CNIC / B-Form; University Student ID card; Institutional bonafide verification; Transcript showing latest semester CGPA or terminal percentage,Apply online on PMYP Students Portal (pmyp.gov.pk). Institutional focal persons verify academic data before final merit list generation.,https://pmyp.gov.pk/,051-9103567
NAT-SCH-03,HEC Indigenous PhD Fellowship Program,ایچ ای سی مقامی پی ایچ ڈی فیلوشپ پروگرام,Scholarship,Pakistan-Wide,All Pakistan,Higher Education Commission (HEC),Pakistani/AJK nationals with outstanding academic credentials pursuing full-time PhD in Pakistan,22,40,Postgraduate (MS / MPhil / PhD),Yes,Not income-tested,Minimum 16 years of education with 1st Division / 3.0 CGPA; valid HAT or equivalent HEC aptitude test score; no other full scholarship,"Monthly stipend of PKR 25,000 - 35,000 + full tuition fee + book & thesis allowance",CNIC; Educational degrees from Matric to MS; Equivalence (if foreign); HAT score card; Research proposal; Enrolment certificate,Submit online via HEC portal (eportal.hec.gov.pk) during advertised call for proposals.,https://www.hec.gov.pk/english/scholarshipsgrants/IPFP/Pages/default.aspx,051-111-119-432
NAT-SCH-04,Workers Welfare Fund (WWF) National Higher Education Scholarship,ورکرز ویلفیئر فنڈ قومی اعلیٰ تعلیمی اسکالرشپ,Scholarship,Pakistan-Wide,All Pakistan,"Workers Welfare Fund (WWF), Ministry of Overseas Pakistanis & HRD",Children of industrial workers registered under EOBI or Social Security (SESSI/PESSI),16,28,Intermediate / Undergraduate / Master,Yes,50000,Parent must be a registered industrial worker with at least 3 years verified service; student admitted on merit,"100% Tuition fee, hostel fee, transport charges, and monthly transport/pocket allowance",Worker EOBI card / Social Security card; Worker service certificate; Student CNIC/B-Form; Admission letter; Fee challan; Character certificate,Submit application attested by factory/mill employer to Provincial Workers Welfare Board or Directorate.,https://wwf.gov.pk/,051-9258280
NAT-SCH-05,Overseas Pakistanis Foundation (OPF) Educational Scholarship,اوورسیز پاکستانیز فاؤنڈیشن تعلیمی اسکالرشپ,Scholarship,Pakistan-Wide,All Pakistan,Overseas Pakistanis Foundation (OPF),"Children of registered overseas Pakistani workers studying in Intermediate, Graduate, or Professional programs",16,26,Intermediate / Undergraduate,Yes,100000,Father/Mother must be a registered overseas worker holding valid OPF membership or Protector stamp; minimum 60% marks,"Annual educational grant ranging from PKR 30,000 to PKR 50,000 per academic year",OPF membership card copy; Foreign work visa/passport page; Student CNIC/B-form; Last exam marksheet; Fee voucher,Apply online through OPF education portal (opf.org.pk) during annual cycle.,https://www.opf.org.pk/education/scholarships/,051-9203232
NAT-SCH-06,National Endowment Scholarships for Talent (NEST) - Nursing & Undergraduate,قومی اینڈومنٹ اسکالرشپ فار ٹیلنٹ (نسٹ),Scholarship,Pakistan-Wide,All Pakistan,"National Endowment Scholarships for Talent (NEST), Ministry of Federal Education","Needy and talented students admitted in BS Nursing, Fine Arts, and STEM programs in partner universities",17,25,Undergraduate (BS Nursing / BS Arts / STEM),Yes,45000,Admission secured on merit; special focus on nursing students and vulnerable districts across Pakistan,"Full admission and tuition fees + PKR 5,000 monthly living stipend",CNIC/B-Form; Guardian CNIC; Income certificate; Intermediate certificate; Institutional admission proof; Domicile,Apply through partner institution's Financial Aid Office or online when NEST opens calls.,https://nest.org.pk/,051-9245571
NAT-SCH-07,HEC Undergraduate Scholarship for Gilgit-Baltistan Students,ایچ ای سی انڈرگریجویٹ اسکالرشپ برائے طلبہ گلگت بلتستان,Scholarship,Pakistan-Wide,Gilgit-Baltistan,Higher Education Commission (HEC),Students having domicile/local certificate of Gilgit-Baltistan pursuing 4-5 year BS degrees in top Pakistani universities,17,23,Undergraduate (Bachelor / BS),Yes,Not income-tested,Domicile of Gilgit-Baltistan; completed SSC/HSSC in GB; qualified HEC aptitude aptitude test (ETC),"Tuition fee waiver up to PKR 240,000/year + annual book allowance + monthly stipend of PKR 15,000",GB Domicile/Local Certificate; SSC & HSSC Result Cards; CNIC/B-Form; HEC ETC test roll number slip,Register via HEC Education Testing Council (etc.hec.gov.pk) and eportal.,https://www.hec.gov.pk/english/scholarshipsgrants/GB/Pages/default.aspx,051-111-119-432
NAT-SCH-08,HEC Scholarship Scheme for Students of Balochistan and Former FATA,ایچ ای سی اسکالرشپ اسکیم برائے طلبہ بلوچستان و سابقہ فاٹا,Scholarship,Pakistan-Wide,"Balochistan, Khyber Pakhtunkhwa (Merged Districts)",Higher Education Commission (HEC),Undergraduate and postgraduate students holding domicile of Balochistan or erstwhile FATA tribal districts,17,35,Undergraduate / Postgraduate,Yes,Not income-tested,Valid Domicile/Local Certificate of Balochistan or Former FATA; passed intermediate or 16-year degree; aptitude test clearance,"100% Tuition fees, hostel charges, books allowance (PKR 30,000/year) and monthly stipend (PKR 18,000 - 24,000)",Local/Domicile Certificate; Father CNIC; Academic degrees; Medical fitness certificate; HEC ETC roll slip,Apply online at HEC e-portal when applications are invited by Project Directorate.,https://www.hec.gov.pk/english/scholarshipsgrants/fata-balochistan/Pages/default.aspx,051-111-119-432
NAT-SCH-09,NAVTTC Prime Minister's Youth Skills Development Program (PMYSDP),نیوٹیک وزیراعظم یوتھ اسکل ڈیولپمنٹ پروگرام,Vocational / Skills Training,Pakistan-Wide,All Pakistan,National Vocational and Technical Training Commission (NAVTTC),"Unemployed youth seeking marketable digital and high-tech industrial vocational skills (IT, AI, Robotics, Trades)",18,40,Matric / Intermediate / Graduation / Any,No,Not income-tested,"Pakistani citizen; priority given to underprivileged youth, school dropouts, and women",Free 3-to-6-month technical training + internationally recognized NAVTTC certificate + monthly stipend + toolkit,Valid CNIC / B-Form; Educational certificates (Matric/FA/FSc or higher if applying for Hi-Tech); Passport size photograph,Register online through NAVTTC National Skills Portal (nsis.navttc.gov.pk) or candidate portal.,https://navttc.gov.pk/,0800-88866
NAT-FIN-01,Benazir Kafaalat Programme (BISP),بے نظیر کفالت پروگرام,Financial Assistance,Pakistan-Wide,All Pakistan,"Benazir Income Support Programme (BISP), Government of Pakistan",Female heads of low-income households falling below the national poverty line,18,65,Any / None,No,25000,"Ever-married female; NSER PMT score <= 32; no family ownership of commercial land, luxury vehicle, or foreign travel","Unconditional quarterly cash grant of PKR 10,500 to PKR 13,500 disbursed through biometric ATM/campsites",Original CNIC of female head; NADRA B-Forms for children; Biometric verification; Registered mobile SIM,Undergo dynamic registry survey at nearest BISP Tehsil Center. Verify eligibility by texting CNIC to 8171.,https://www.bisp.gov.pk/,0800-26477
NAT-FIN-02,Benazir Taleemi Wazaif Programme,بے نظیر تعلیمی وظائف پروگرام,Financial Assistance / Education,Pakistan-Wide,All Pakistan,Benazir Income Support Programme (BISP),School and college-going children (aged 4-22) of active Benazir Kafaalat beneficiary mothers,4,22,"Primary, Secondary, Higher Secondary",Yes,25000,Mother must be an active registered BISP recipient; child must maintain minimum 70% school attendance per quarter,"Quarterly cash stipend (Primary: PKR 1,500-2,000; Secondary: PKR 2,500-3,000; Higher Secondary: PKR 3,500-4,000) + PKR 3,000 primary bonus for girls",Mother's CNIC; Child's NADRA B-Form/CRC; School Admission/Attendance verification slip stamped by headteacher,"Obtain school enrollment slip, get stamped by school head, submit at nearest BISP Tehsil Registration Office.",https://www.bisp.gov.pk/,0800-26477
NAT-FIN-03,Benazir Nashonuma Programme,بے نظیر نشوونما پروگرام,Financial Assistance / Nutrition,Pakistan-Wide,All Pakistan,BISP in partnership with World Food Programme (WFP) & Health Departments,Pregnant & Lactating Women (PLW) and children under 24 months from underprivileged households,0,45,Any / None,No,25000,"Must be enrolled in BISP Kafaalat; compliance with compulsory health checkups, maternal nutrition sessions, and EPI child vaccinations","Quarterly cash stipend (PKR 2,000 for mother/male infant; PKR 2,500 for female infant) + free Specialized Nutritious Food (SNF) sachets",Mother's CNIC; Child's NADRA B-Form / Birth Certificate; Child Immunization Card; Antenatal/Postnatal medical booklet,Visit dedicated Nashonuma Facilitation Centers located at District and Tehsil Headquarters (DHQ/THQ) Hospitals.,https://www.bisp.gov.pk/,0800-26477
